timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0.0,8.520887,-0.036399,4.907222,0.0,0.0,0.0
20.0,8.469798,-0.068286,4.852028,0.0,0.0,0.0
40.0,8.494536,-0.011068,4.899156,0.0,0.0,0.0
60.0,8.501455,0.030779,4.942793,0.0,0.0,0.0
80.0,8.508134,0.039453,4.909505,0.0,0.0,0.0
100.0,8.448706,0.012906,4.91259,0.0,0.0,0.0
120.0,8.502578,-0.001747,4.873463,0.0,0.0,0.0
140.0,8.476208,0.042789,4.92126,0.0,0.0,0.0
160.0,8.501447,-0.012325,4.925623,0.0,0.0,0.0
180.0,8.512262,0.014446,4.899787,0.0,0.0,0.0
200.0,8.51476,-0.014225,4.829446,0.0,0.0,0.0
220.0,8.512787,0.021559,4.947748,0.0,0.0,0.0
240.0,8.465823,-0.029405,4.89235,0.0,0.0,0.0
260.0,8.520657,0.026014,4.89311,0.0,0.0,0.0
280.0,8.484698,0.008126,4.925539,0.0,0.0,0.0
300.0,8.503412,0.0305,4.900609,0.0,0.0,0.0
320.0,8.513452,0.002365,4.887806,0.0,0.0,0.0
340.0,8.494166,-0.051,4.878596,0.0,0.0,0.0
360.0,8.476237,-0.022361,4.912767,0.0,0.0,0.0
380.0,8.548319,-0.030304,4.874957,0.0,0.0,0.0
400.0,8.468291,-0.011721,4.957182,0.0,0.0,0.0
420.0,8.527114,0.024893,4.89944,0.0,0.0,0.0
440.0,8.512711,-0.016182,4.92891,0.0,0.0,0.0
460.0,8.455109,-0.044649,4.889291,0.0,0.0,0.0
480.0,8.481035,0.017401,4.933687,0.0,0.0,0.0
500.0,8.509697,-0.014954,4.88517,0.0,0.0,0.0
520.0,8.517601,-0.010827,4.892356,0.0,0.0,0.0
540.0,8.469654,-0.012707,4.916708,0.0,0.0,0.0
560.0,8.457653,0.017044,4.931357,0.0,0.0,0.0
580.0,8.506561,0.016826,4.910761,0.0,0.0,0.0
600.0,8.491622,-0.003447,4.875749,0.0,0.0,0.0
620.0,8.44755,-0.059057,4.880417,0.0,0.0,0.0
640.0,8.481778,-0.034904,4.950413,0.0,0.0,0.0
660.0,8.516343,-0.013236,4.953507,0.0,0.0,0.0
680.0,8.458275,0.025813,4.897785,0.0,0.0,0.0
700.0,8.478936,-0.033251,4.903619,0.0,0.0,0.0
720.0,8.520681,-0.060456,4.885457,0.0,0.0,0.0
740.0,8.453137,-0.020795,4.870813,0.0,0.0,0.0
760.0,8.501123,-0.018532,4.905211,0.0,0.0,0.0
780.0,8.485935,0.056062,4.898474,0.0,0.0,0.0
800.0,8.481565,0.006275,4.938198,0.0,0.0,0.0
820.0,8.527411,0.029229,4.868372,0.0,0.0,0.0
840.0,8.499024,-0.041607,4.847775,0.0,0.0,0.0
860.0,8.434864,-0.013643,4.907318,0.0,0.0,0.0
880.0,8.459342,-0.007778,4.858334,0.0,0.0,0.0
900.0,8.50044,0.010973,4.948775,0.0,0.0,0.0
920.0,8.540312,0.101985,4.850054,0.0,0.0,0.0
940.0,8.483606,-0.074622,4.938004,0.0,0.0,0.0
960.0,8.460028,-0.014538,4.917254,0.0,0.0,0.0
980.0,8.495104,0.037309,4.910341,0.0,0.0,0.0
1000.0,8.439271,-0.036248,4.878826,0.0,0.0,0.0
1020.0,8.537885,-0.001882,4.949004,0.0,0.0,0.0
1040.0,8.479954,0.034396,4.890639,0.0,0.0,0.0
1060.0,8.450089,-0.033779,4.92655,0.0,0.0,0.0
1080.0,8.555472,-0.028749,4.853483,0.0,0.0,0.0
1100.0,8.488675,0.032605,4.93743,0.0,0.0,0.0
1120.0,8.47022,-0.001427,4.896614,0.0,0.0,0.0
1140.0,8.463465,-0.015924,4.868356,0.0,0.0,0.0
1160.0,8.518308,0.006041,4.969695,0.0,0.0,0.0
1180.0,8.504272,-0.004152,4.903477,0.0,0.0,0.0
1200.0,8.503207,0.007678,4.856548,0.0,0.0,0.0
1220.0,8.558718,0.015006,4.896668,0.0,0.0,0.0
1240.0,8.454545,-0.042856,4.873828,0.0,0.0,0.0
1260.0,8.516258,0.060328,4.850142,0.0,0.0,0.0
1280.0,8.452547,0.051151,4.895566,0.0,0.0,0.0
1300.0,8.465189,0.022516,4.923539,0.0,0.0,0.0
